epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.6925,0.71029,0.55556,1,0.62563,1.667e-05,1.667e-05,1.667e-05
2,27.7414,0.69592,0.66667,1,0.6091,4.67093e-05,4.67093e-05,4.67093e-05
3,46.1294,0.63249,0.66667,1,0.58714,7.23478e-05,7.23478e-05,7.23478e-05
4,59.6255,0.61087,0.66667,1,0.55719,9.35854e-05,9.35854e-05,9.35854e-05
5,73.7849,0.52751,0.88889,1,0.52353,0.000110422,0.000110422,0.000110422
6,87.4377,0.46933,0.88889,1,0.48827,0.000122858,0.000122858,0.000122858
7,101.576,0.42916,1,1,0.45176,0.000130893,0.000130893,0.000130893
8,115.103,0.37142,1,1,0.41253,0.000134527,0.000134527,0.000134527
9,129.151,0.34331,1,1,0.39399,0.00013376,0.00013376,0.00013376
10,142.364,0.30672,1,1,0.37968,0.000128592,0.000128592,0.000128592
11,155.039,0.29386,1,1,0.37422,0.000119024,0.000119024,0.000119024
12,167.706,0.27587,1,1,0.38013,0.000105054,0.000105054,0.000105054
13,180.919,0.26181,1,1,0.35967,8.6684e-05,8.6684e-05,8.6684e-05
14,194.43,0.21449,1,1,0.35075,6.39128e-05,6.39128e-05,6.39128e-05
15,208.018,0.28899,1,1,0.34318,3.67407e-05,3.67407e-05,3.67407e-05
